,value
2024-06-28 22:00:00,9972.936400541272
2024-06-28 23:00:00,9972.936400541272
2024-06-29 00:00:00,10044.868599102627
2024-06-29 01:00:00,10111.103197777935
2024-06-29 02:00:00,10118.937397621252
2024-06-29 03:00:00,10096.859198062815
2024-06-29 04:00:00,10066.946798661062
2024-06-29 05:00:00,10012.819599743605
2024-06-29 06:00:00,10049.853999002918
2024-06-29 07:00:00,10113.239797735203
2024-06-29 08:00:00,10131.044797379103
2024-06-29 09:00:00,10174.488996510221
2024-06-29 10:00:00,10155.971796880563
2024-06-29 11:00:00,10160.244996795102
2024-06-29 12:00:00,10132.469197350618
2024-06-29 13:00:00,10122.498397550033
2024-06-29 14:00:00,10100.420197991596
2024-06-29 15:00:00,10161.669396766612
2024-06-29 16:00:00,10128.908197421835
2024-06-29 17:00:00,10138.166797236661
2024-06-29 18:00:00,10113.951997720957
2024-06-29 19:00:00,10093.298198134033
2024-06-29 20:00:00,10044.15639911687
2024-06-29 21:00:00,10022.790399544188
2024-06-29 22:00:00,9975.073000498536
2024-06-29 23:00:00,9990.741400185168
2024-06-30 00:00:00,10024.926999501455
2024-06-30 01:00:00,9977.209600455803
2024-06-30 02:00:00,9894.594402108107
2024-06-30 03:00:00,9849.725803005478
2024-06-30 04:00:00,9800.584003988315
2024-06-30 05:00:00,9796.66377038672
2024-06-30 06:00:00,9796.66377038672
2024-06-30 07:00:00,9796.66377038672
2024-06-30 08:00:00,9796.66377038672
2024-06-30 09:00:00,9796.66377038672
2024-06-30 10:00:00,9796.66377038672
2024-06-30 11:00:00,9796.66377038672
2024-06-30 12:00:00,9796.66377038672
2024-06-30 13:00:00,9796.66377038672
2024-06-30 14:00:00,9796.66377038672
2024-06-30 15:00:00,9796.66377038672
2024-06-30 16:00:00,9796.66377038672
2024-06-30 17:00:00,9796.66377038672
2024-06-30 18:00:00,9875.024296675387
2024-06-30 19:00:00,9843.757011595053
2024-06-30 20:00:00,9816.568068046938
2024-06-30 21:00:00,9820.646409579154
2024-06-30 22:00:00,9994.655648287091
2024-06-30 23:00:00,9965.427533972868
2024-07-01 00:00:00,10048.35381179462
2024-07-01 01:00:00,10077.581926108842
2024-07-01 02:00:00,10020.4851446578
2024-07-01 03:00:00,10033.399892843157
2024-07-01 04:00:00,10022.52431542391
2024-07-01 05:00:00,10060.588836391273
2024-07-01 06:00:00,10059.90911280257
2024-07-01 07:00:00,10080.300820463657
2024-07-01 08:00:00,10021.844591835208
2024-07-01 09:00:00,10046.314641028512
2024-07-01 10:00:00,9982.420623690441
2024-07-01 11:00:00,9933.480525303832
2024-07-01 12:00:00,10025.243209778722
2024-07-01 13:00:00,9991.257030343579
2024-07-01 14:00:00,10049.033535383323
2024-07-01 15:00:00,10093.895292237712
2024-07-01 16:00:00,10058.549665625162
2024-07-01 17:00:00,10063.987454334787
2024-07-01 18:00:00,10042.916023084998
2024-07-01 19:00:00,10013.687908770773
2024-07-01 20:00:00,10027.962104133534
2024-07-01 21:00:00,10030.680998488344
2024-07-01 22:00:00,9977.662558569518
2024-07-01 23:00:00,9969.505875505083
2024-07-02 00:00:00,10015.047355948176
2024-07-02 01:00:00,10034.079616431856
2024-07-02 02:00:00,10132.639536793773
2024-07-02 03:00:00,10138.757049092099
2024-07-02 04:00:00,10121.084235785826
2024-07-02 05:00:00,10133.319260382477
2024-07-02 06:00:00,10043.595746673696
2024-07-02 07:00:00,10021.164868246502
2024-07-02 08:00:00,10059.909112802565
2024-07-02 09:00:00,10079.621096874947
2024-07-02 10:00:00,10115.6464470762
2024-07-02 11:00:00,10174.10267570465
2024-07-02 12:00:00,10231.879180744394
2024-07-02 13:00:00,10119.045065019716
2024-07-02 14:00:00,10078.941373286247
2024-07-02 15:00:00,10086.418332761978
2024-07-02 16:00:00,10128.561195261555
2024-07-02 17:00:00,10194.494383365734
2024-07-02 18:00:00,10396.372289210489
2024-07-02 19:00:00,10385.496711791244
2024-07-02 20:00:00,10405.88841945233
2024-07-02 21:00:00,10446.671834774503
2024-07-02 22:00:00,10442.493166040593
2024-07-02 23:00:00,10442.493166040593
2024-07-03 00:00:00,10442.493166040593
2024-07-03 01:00:00,10442.493166040593
2024-07-03 02:00:00,10442.493166040593
2024-07-03 03:00:00,10442.493166040593
