side,entry_ts,exit_ts,entry_price,exit_price,gross_ret,net_ret,net_pct,bars,win
long,2024-06-28 22:00:00,2024-06-30 05:00:00,140.03,137.68,-0.016782118117546152,-0.017568535108190897,-1.7568535108190897,31,False
long,2024-06-30 18:00:00,2024-07-02 22:00:00,145.28,154.72,0.06497797356828183,0.06412616158590301,6.412616158590301,52,True
long,2024-07-03 11:00:00,2024-07-04 20:00:00,144.07,135.07,-0.062469632817380494,-0.06321950710626767,-6.321950710626767,33,False
long,2024-07-05 09:00:00,2024-07-06 09:00:00,126.19,139.91,0.1087249385846738,0.10783813602979642,10.783813602979642,24,True
short,2024-07-06 22:00:00,2024-07-07 22:00:00,143.87,133.05,0.08132281097331817,0.08045792573618948,8.045792573618948,24,True
long,2024-07-08 11:00:00,2024-07-09 11:00:00,140.61,141.92,0.00931654932081627,0.0085092575720076,0.85092575720076,24,True
long,2024-07-10 00:00:00,2024-07-11 06:00:00,139.15,141.49,0.01681638519583184,0.016003094778296756,1.6003094778296756,30,True
short,2024-07-11 20:00:00,2024-07-12 20:00:00,136.97,138.07,-0.00796697327442597,-0.008760440970522088,-0.8760440970522088,24,False
short,2024-07-13 09:00:00,2024-07-15 09:00:00,140.62,152.21,-0.07614479994744106,-0.07688373629065093,-7.688373629065093,48,False
short,2024-07-15 22:00:00,2024-07-17 17:00:00,158.78,156.48,0.014698364008180143,0.013886767668711997,1.3886767668711997,43,True
long,2024-07-18 06:00:00,2024-07-19 06:00:00,159.7,164.47,0.029868503443957417,0.029044773420162873,2.9044773420162873,24,True
short,2024-07-19 19:00:00,2024-07-22 08:00:00,170.46,177.23,-0.038198950516278196,-0.038968237467697175,-3.8968237467697175,61,False
long,2024-07-22 21:00:00,2024-07-24 18:00:00,180.15,177.86,-0.012711629197890595,-0.013501301928392828,-1.3501301928392828,45,False
long,2024-07-25 07:00:00,2024-07-26 07:00:00,169.4,176.75,0.04338842975206614,0.04255388595041354,4.255388595041354,24,True
short,2024-07-26 20:00:00,2024-07-27 20:00:00,181.47,183.11,-0.00895636502648689,-0.009749041367484002,-0.9749041367484002,24,False
long,2024-07-28 09:00:00,2024-07-29 09:00:00,183.72,192.01,0.045123013281079816,0.04428708209013732,4.428708209013732,24,True
long,2024-07-29 22:00:00,2024-07-31 22:00:00,183.31,173.33,-0.054443292782717756,-0.05519958685941839,-5.519958685941839,48,False
short,2024-08-01 11:00:00,2024-08-02 11:00:00,169.69,164.37,0.0323660035286244,0.03154027590436215,3.1540275904362147,24,True
short,2024-08-03 00:00:00,2024-08-04 00:00:00,151.11,144.1,0.048646773074254135,0.04780802343927859,4.780802343927859,24,True
long,2024-08-04 13:00:00,2024-08-06 16:00:00,143.64,147.44,0.02645502645502651,0.02563402666666681,2.563402666666681,51,True
long,2024-08-07 05:00:00,2024-08-08 05:00:00,153.24,152.9,-0.0022187418428608607,-0.003016807204385241,-0.3016807204385241,24,False
long,2024-08-08 18:00:00,2024-08-11 00:00:00,156.98,154.69,-0.014587845585424808,-0.015376017643011664,-1.5376017643011664,54,False
long,2024-08-11 14:00:00,2024-08-12 14:00:00,149.29,149.14,-0.0010047558443299076,-0.0018037922004152662,-0.18037922004152662,24,False
long,2024-08-13 03:00:00,2024-08-14 03:00:00,143.66,145.14,0.010302102185716144,0.009494022152303883,0.9494022152303883,24,True
short,2024-08-14 16:00:00,2024-08-15 16:00:00,144.95,145.93,-0.006715548550675132,-0.007510017186322271,-0.7510017186322271,24,False
long,2024-08-16 05:00:00,2024-08-17 17:00:00,143.06,140.44,-0.018313994128337785,-0.019099185863274082,-1.9099185863274082,36,False
short,2024-08-18 06:00:00,2024-08-19 06:00:00,141.76,142.88,-0.007838745800671898,-0.00863231605823056,-0.863231605823056,24,False
long,2024-08-19 19:00:00,2024-08-22 00:00:00,142.95,142.49,-0.003217908359566146,-0.004015174547743805,-0.4015174547743805,53,False
short,2024-08-22 13:00:00,2024-08-23 13:00:00,143.04,144.66,-0.011198672749896388,-0.011989555603484026,-1.1989555603484026,24,False
short,2024-08-24 02:00:00,2024-08-25 02:00:00,153.36,158.8,-0.034256926952141,-0.03502936689168756,-3.5029366891687563,24,False
long,2024-08-25 15:00:00,2024-08-26 15:00:00,159.35,157.64,-0.010731095073737151,-0.01152235191465334,-1.152235191465334,24,False
short,2024-08-27 04:00:00,2024-08-28 04:00:00,158.57,147.37,0.07599918572301001,0.0751385585343014,7.51385585343014,24,True
long,2024-08-28 17:00:00,2024-09-07 20:00:00,142.16,127.29,-0.10460045019696107,-0.10531662657287544,-10.531662657287544,243,False
short,2024-09-08 09:00:00,2024-09-09 15:00:00,129.64,128.41,0.009578693248189385,0.008771191826181912,0.8771191826181912,30,True
long,2024-09-10 04:00:00,2024-09-13 10:00:00,132.98,134.15,0.008798315536171053,0.007991438291472752,0.7991438291472752,78,True
long,2024-09-13 23:00:00,2024-09-15 12:00:00,139.02,135.96,-0.022011221406991854,-0.0227934559516616,-2.27934559516616,37,False
short,2024-09-16 01:00:00,2024-09-17 01:00:00,130.17,130.56,-0.0029871323529412352,-0.003784583124999963,-0.3784583124999963,24,False
short,2024-09-17 15:00:00,2024-09-18 21:00:00,134.67,131.16,0.026761207685269905,0.025939963000914945,2.5939963000914945,30,True
short,2024-09-19 10:00:00,2024-09-20 11:00:00,138.59,150.58,-0.07962544826670215,-0.08036160064816045,-8.036160064816045,25,False
short,2024-09-21 00:00:00,2024-09-22 01:00:00,147.17,147.88,-0.004801190154179125,-0.005597189970246164,-0.5597189970246164,25,False
short,2024-09-22 14:00:00,2024-09-23 14:00:00,143.35,143.75,-0.0027826086956521667,-0.003580223053912923,-0.3580223053912923,24,False
short,2024-09-24 06:00:00,2024-09-25 20:00:00,146.26,150.36,-0.02726789039638211,-0.02804592044692733,-2.804592044692733,38,False
long,2024-09-26 09:00:00,2024-09-27 09:00:00,150.74,157.84,0.04710096855512802,0.04626345531643916,4.626345531643916,24,True
short,2024-09-27 22:00:00,2024-09-28 22:00:00,158.06,156.72,0.008550280755487583,0.0077436018989280875,0.7743601898928087,24,True
short,2024-09-29 11:00:00,2024-09-30 11:00:00,156.75,155.6,0.0073907455012853784,0.006584994087403873,0.6584994087403873,24,True
long,2024-10-01 02:00:00,2024-10-02 08:00:00,153.89,148.01,-0.03820911040353492,-0.038978389228669696,-3.8978389228669696,30,False
short,2024-10-02 21:00:00,2024-10-03 21:00:00,140.83,137.11,0.027131500255269447,0.026309959396105365,2.6309959396105365,24,True
short,2024-10-04 10:00:00,2024-10-05 14:00:00,139.45,143.13,-0.025710892195905832,-0.026490167595891845,-2.6490167595891845,28,False
long,2024-10-06 03:00:00,2024-10-07 03:00:00,142.69,149.94,0.050809447053052015,0.04996896762492109,4.996896762492109,24,True
short,2024-10-07 16:00:00,2024-10-08 16:00:00,149.15,143.8,0.0372044506258693,0.036374853018080744,3.6374853018080744,24,True
long,2024-10-09 05:00:00,2024-10-11 12:00:00,144.2,143.0,-0.00832177531206646,-0.009114959223300745,-0.9114959223300745,55,False
long,2024-10-12 01:00:00,2024-10-13 16:00:00,145.87,145.98,0.0007540961129772761,-4.6347043257566334e-05,-0.004634704325756633,39,False
short,2024-10-14 06:00:00,2024-10-15 10:00:00,151.99,154.93,-0.018976311882785812,-0.019760973869489384,-1.9760973869489384,28,False
long,2024-10-15 23:00:00,2024-10-16 23:00:00,154.76,154.28,-0.0031015766347892715,-0.0038989358697336662,-0.3898935869733666,24,False
short,2024-10-17 12:00:00,2024-10-18 12:00:00,152.53,152.4,0.0008530183727033513,5.2496094488319045e-05,0.0052496094488319045,24,True
long,2024-10-19 01:00:00,2024-10-20 01:00:00,154.38,158.8,0.02863065163881351,0.027807911698406684,2.7807911698406684,24,True
short,2024-10-20 14:00:00,2024-10-21 14:00:00,160.8,164.26,-0.02106416656520138,-0.021847158602215755,-2.1847158602215755,24,False
long,2024-10-22 03:00:00,2024-10-23 14:00:00,166.45,167.78,0.007990387503755025,0.007184156472214154,0.7184156472214154,35,True
long,2024-10-24 03:00:00,2024-10-25 03:00:00,174.14,174.68,0.0031009532560011266,0.00229863298954891,0.229863298954891,24,True
long,2024-10-25 17:00:00,2024-10-26 17:00:00,167.94,170.05,0.012564010956293892,0.011754121757770797,1.1754121757770797,24,True
short,2024-10-27 06:00:00,2024-10-28 06:00:00,173.39,174.56,-0.006702566452795655,-0.007497045472043995,-0.7497045472043995,24,False
long,2024-10-28 19:00:00,2024-10-29 21:00:00,176.42,178.8,0.013490533953066652,0.012679903684389648,1.2679903684389648,26,True
long,2024-10-30 10:00:00,2024-11-01 05:00:00,177.22,166.95,-0.057950569913102434,-0.0587040587292631,-5.87040587292631,43,False
long,2024-11-01 18:00:00,2024-11-05 16:00:00,166.18,168.56,0.0143218197135635,0.01351052454928392,1.351052454928392,94,True
short,2024-11-06 05:00:00,2024-11-08 10:00:00,185.22,203.57,-0.09014098344549781,-0.09086872508129862,-9.086872508129861,53,False
long,2024-11-08 23:00:00,2024-11-09 23:00:00,199.85,199.89,0.0002001501125843408,-0.00059984997548157,-0.059984997548157004,24,False
short,2024-11-10 12:00:00,2024-11-11 12:00:00,205.49,216.03,-0.048789519974077655,-0.049550336164421505,-4.955033616442151,24,False
short,2024-11-12 01:00:00,2024-11-13 01:00:00,218.98,210.39,0.04082893673653687,0.039996440119777654,3.9996440119777654,24,True
long,2024-11-13 14:00:00,2024-11-16 05:00:00,216.71,220.9,0.01933459461953757,0.01851929003737718,1.8519290037377178,63,True
short,2024-11-16 18:00:00,2024-11-18 21:00:00,216.5,238.31,-0.09151944945659019,-0.09224608854013672,-9.224608854013672,51,False
long,2024-11-19 10:00:00,2024-11-21 21:00:00,245.98,253.12,0.02902675014228806,0.02820369338645423,2.820369338645423,59,True
short,2024-11-22 10:00:00,2024-11-23 10:00:00,257.21,256.76,0.0017526094407227522,0.0009513676335877186,0.09513676335877186,24,True
long,2024-11-23 23:00:00,2024-11-25 01:00:00,254.89,248.55,-0.02487347483228053,-0.025653420032170526,-2.5653420032170526,26,False
short,2024-11-25 14:00:00,2024-11-26 14:00:00,242.06,230.79,0.04883227176220806,0.047993373757961866,4.799337375796187,24,True
long,2024-11-27 05:00:00,2024-11-30 22:00:00,228.78,238.41,0.04209284028324145,0.04125933274586946,4.125933274586946,89,True
short,2024-12-01 11:00:00,2024-12-02 11:00:00,237.09,224.77,0.05481158517595763,0.05396790467767043,5.396790467767043,24,True
long,2024-12-03 00:00:00,2024-12-07 07:00:00,225.69,236.21,0.04661261021755503,0.04577548758739858,4.577548758739858,103,True
short,2024-12-07 20:00:00,2024-12-08 20:00:00,241.18,235.32,0.024902260751317407,0.024082502927078142,2.408250292707814,24,True
long,2024-12-09 11:00:00,2024-12-10 11:00:00,225.99,216.21,-0.04327625116155587,-0.04404147708482675,-4.404147708482675,24,False
long,2024-12-11 00:00:00,2024-12-12 11:00:00,215.05,229.59,0.06761218321320617,0.06675826428458498,6.675826428458498,35,True
long,2024-12-13 00:00:00,2024-12-14 12:00:00,227.14,222.38,-0.020956238443250785,-0.021739316805494235,-2.1739316805494235,36,False
short,2024-12-15 01:00:00,2024-12-16 01:00:00,221.23,225.58,-0.01928362443479037,-0.020068040620622396,-2.0068040620622396,24,False
long,2024-12-16 14:00:00,2024-12-17 20:00:00,216.54,226.4,0.045534312367230045,0.04469805220282619,4.469805220282619,30,True
long,2024-12-18 09:00:00,2024-12-19 09:00:00,216.73,210.02,-0.030960180870207132,-0.03173525767913987,-3.173525767913987,24,False
short,2024-12-19 23:00:00,2024-12-20 23:00:00,193.81,194.48,-0.0034450843274371756,-0.004242168811188551,-0.42421688111885514,24,False
short,2024-12-21 13:00:00,2024-12-22 17:00:00,185.61,181.61,0.022025218875612484,0.021207762224547233,2.1207762224547233,28,True
long,2024-12-23 06:00:00,2024-12-24 09:00:00,180.8,192.56,0.06504424778761053,0.06419238279646011,6.419238279646011,27,True
short,2024-12-24 22:00:00,2024-12-25 22:00:00,196.98,196.76,0.0011181134376905266,0.0003173791258384018,0.03173791258384018,24,True
long,2024-12-26 11:00:00,2024-12-27 12:00:00,189.8,190.82,0.005374077976817659,0.0045699395742886395,0.45699395742886395,25,True
long,2024-12-28 01:00:00,2024-12-29 06:00:00,185.28,196.29,0.05942357512953356,0.05857620577720213,5.857620577720213,29,True
short,2024-12-29 19:00:00,2024-12-30 19:00:00,192.71,196.21,-0.017838030681412764,-0.018623603110952458,-1.8623603110952458,24,False
long,2024-12-31 08:00:00,2025-01-01 23:00:00,192.13,194.28,0.011190339874043609,0.010381549392598721,1.0381549392598721,39,True
long,2025-01-02 12:00:00,2025-01-03 12:00:00,208.39,213.4,0.02404146072268354,0.02322239140073923,2.322239140073923,24,True
short,2025-01-04 01:00:00,2025-01-05 09:00:00,217.38,213.19,0.019653829916975507,0.01883826999765481,1.883826999765481,32,True
short,2025-01-05 22:00:00,2025-01-09 10:00:00,214.22,191.41,0.11916827751946091,0.11827312196437001,11.827312196437001,84,True
long,2025-01-09 23:00:00,2025-01-11 23:00:00,184.95,188.09,0.01697756150310914,0.016164142170316476,1.6164142170316476,48,True
short,2025-01-12 12:00:00,2025-01-13 12:00:00,187.03,175.22,0.06740098162310248,0.06654723162196108,6.654723162196108,24,True
long,2025-01-14 02:00:00,2025-01-15 02:00:00,183.39,187.3,0.02132068269807519,0.02050378956322607,2.050378956322607,24,True
long,2025-01-15 15:00:00,2025-01-16 15:00:00,196.52,209.07,0.06386118461225321,0.06301026588235303,6.301026588235303,24,True
short,2025-01-17 04:00:00,2025-01-18 21:00:00,212.91,252.59,-0.1570925214774932,-0.15776671259511454,-15.776671259511454,41,False
long,2025-01-19 10:00:00,2025-01-20 10:00:00,284.44,259.27,-0.08848966390099855,-0.08921872632822381,-8.921872632822382,24,False
long,2025-01-20 23:00:00,2025-01-22 01:00:00,242.19,252.12,0.04100086708782369,0.04016823295429228,4.016823295429228,26,True
long,2025-01-22 14:00:00,2025-01-23 14:00:00,256.09,251.42,-0.018235776484829547,-0.019021030781365744,-1.9021030781365744,24,False
long,2025-01-24 03:00:00,2025-01-25 14:00:00,252.23,251.02,-0.004797208896641925,-0.005593211897077954,-0.5593211897077954,35,False
short,2025-01-26 03:00:00,2025-01-27 03:00:00,258.42,235.8,0.09592875318066163,0.0950521855267179,9.50521855267179,24,True
short,2025-01-27 16:00:00,2025-01-28 16:00:00,228.92,234.38,-0.02329550302926875,-0.02407671035412573,-2.407671035412573,24,False
long,2025-01-29 05:00:00,2025-01-30 08:00:00,230.88,239.67,0.038071725571725556,0.03724143428274451,3.724143428274451,27,True
